country,year,predicted_temperature
COD,2019,24.840336
COD,2020,24.890266
COD,2021,24.940508
COD,2022,24.99077
COD,2023,25.041021
COD,2024,25.091269
COD,2025,25.141516
PRK,2015,8.023839
PRK,2016,8.093748
PRK,2017,8.166552
PRK,2018,8.239358
PRK,2019,8.312161
PRK,2020,8.384968
PRK,2021,8.457773
PRK,2022,8.530897
PRK,2023,8.604758
PRK,2024,8.678716
PRK,2025,8.7526
DJI,2015,28.60898
DJI,2016,28.646517
DJI,2017,28.68405
DJI,2018,28.723566
DJI,2019,28.763342
DJI,2020,28.80313
DJI,2021,28.84589
DJI,2022,28.888723
DJI,2023,28.931553
DJI,2024,28.974392
DJI,2025,29.019045
DMA,2015,25.797083
DMA,2016,25.81429
DMA,2017,25.831484
DMA,2018,25.848694
DMA,2019,25.868408
DMA,2020,25.8909
DMA,2021,25.919046
DMA,2022,25.953316
DMA,2023,25.990395
DMA,2024,26.028416
DMA,2025,26.067469
DNK,2015,9.513856
DNK,2016,9.573569
DNK,2017,9.633284
DNK,2018,9.693976
DNK,2019,9.756858
DNK,2020,9.820113
DNK,2021,9.883259
DNK,2022,9.94926
DNK,2023,10.016762
DNK,2024,10.08609
DNK,2025,10.157911
DOM,2015,24.46529
DOM,2016,24.495886
DOM,2017,24.526482
DOM,2018,24.557077
DOM,2019,24.587671
DOM,2020,24.6219
DOM,2021,24.65632
DOM,2022,24.69355
DOM,2023,24.73079
DOM,2024,24.768023
DOM,2025,24.808916
ECU,2015,21.43433
ECU,2016,21.47565
ECU,2017,21.516954
ECU,2018,21.558264
ECU,2019,21.599579
ECU,2020,21.640888
ECU,2021,21.682192
ECU,2022,21.723503
ECU,2023,21.76481
ECU,2024,21.806126
ECU,2025,21.847445
SLV,2015,26.355059
SLV,2016,26.39129
SLV,2017,26.427526
SLV,2018,26.463757
SLV,2019,26.499998
SLV,2020,26.536232
SLV,2021,26.572456
SLV,2022,26.608688
SLV,2023,26.644924
SLV,2024,26.681166
SLV,2025,26.717394
ERI,2015,27.28361
ERI,2016,27.311802
ERI,2017,27.339994
ERI,2018,27.368183
ERI,2019,27.396383
ERI,2020,27.42457
ERI,2021,27.45236
ERI,2022,27.481651
ERI,2023,27.516407
ERI,2024,27.553698
ERI,2025,27.593414
EST,2015,7.0568027
EST,2016,7.1243997
EST,2017,7.192746
EST,2018,7.262976
EST,2019,7.3333225
EST,2020,7.4036684
EST,2021,7.473156
EST,2022,7.543791
EST,2023,7.6159678
EST,2024,7.688148
EST,2025,7.7603254
GNQ,2015,24.30436
GNQ,2016,24.358566
GNQ,2017,24.412767
GNQ,2018,24.46634
GNQ,2019,24.514786
GNQ,2020,24.563213
GNQ,2021,24.611647
GNQ,2022,24.660065
GNQ,2023,24.708504
GNQ,2024,24.75693
GNQ,2025,24.805359
ETH,2015,23.746964
ETH,2016,23.785593
